region;provincia;localidad;calle;altura
Norte;Catamarca;Paclin;AV INDEPENDENCIA 918
Norte;Jujuy;Tumbaya;AV INDEPENDENCIA 918
Centro;Entre Rios;Gualeguaychu;AV INDEPENDENCIA N 1282-A
Metropolitana;Buenos Aires;La Plata;AV INDEPENDENCIA N 1282-A
Centro;Cordoba;San Alberto;AV INDEPENDENCIA N01166
Centro;Santa Fe;Caseros;AV INDEPENDENCIA N01166
Norte;Corrientes;Mburucuya;AV INDEPENDENCIA N0405
Norte;Jujuy;El Carmen;AV INDEPENDENCIA N0405
Norte;Tucuman;Simoca;AV INDEPENDENCIA N0405
Metropolitana;Buenos Aires;Baradero;AV INDEPENDENCIA N0562
Norte;Formosa;Pirane;AV INDEPENDENCIA N0562
Norte;Tucuman;Yerba Buena;AV INDEPENDENCIA N0562
Metropolitana;Buenos Aires;Tres Lomas;AV INDEPENDENCIA N0670
Norte;Salta;Oran;AV INDEPENDENCIA N0670
Sur;Neuquen;Alumine;AV INDEPENDENCIA N0670
Norte;Santiago del Estero;Alberdi;AV INDEPENDENCIA N0677
Norte;Tucuman;Trancas;AV INDEPENDENCIA N0677
Sur;Rio Negro;norquinco;AV INDEPENDENCIA N0677
Centro;Entre Rios;Federacion;AV INDEPENDENCIA N0691
Norte;La Rioja;Castro Barros;AV INDEPENDENCIA N0900
Sur;Rio Negro;San Antonio;AV INDEPENDENCIA N0900
Metropolitana;Buenos Aires;Necochea;AV INDEPENDENCIA;5798
Metropolitana;Buenos Aires;Tornquist;AV INDEPENDENCIA;5799
Norte;Santiago del Estero;Aguirre;AV INDEPENDENCIA;5755
Norte;Chaco;San Lorenzo;AV INDEPENDENCIA;5798
Norte;Misiones;Leandro N. Alem;AV INDEPENDENCIA;5798
Norte;Santiago del Estero;Choya;AV INDEPENDENCIA;5798
Centro;Entre Rios;Feliciano;AV INDEPENDENCIA;1001
Centro;Mendoza;Lujan de Cuyo;AV INDEPENDENCIA;1029
Metropolitana;Buenos Aires;Mar Chiquita;AV INDEPENDENCIA;1029
Norte;La Rioja;Coronel Felipe Varela;AV INDEPENDENCIA;1029
Norte;La Rioja;Sanagasta;AV INDEPENDENCIA;1029
Norte;Salta;Santa Victoria;AV INDEPENDENCIA;1029
Sur;Chubut;Cushamen;AV INDEPENDENCIA;1029
Centro;Entre Rios;Victoria;AV INDEPENDENCIA;1054
Sur;Neuquen;Picunches;AV INDEPENDENCIA;1054
Sur;Rio Negro;Avellaneda;AV INDEPENDENCIA;1054
Norte;Jujuy;San Antonio;AV INDEPENDENCIA;1162
Norte;La Rioja;Castro Barros;AV INDEPENDENCIA;1162
Metropolitana;Buenos Aires;Balcarce;AV INDEPENDENCIA;1231 A
Metropolitana;Buenos Aires;Villarino;AV INDEPENDENCIA;1231 A
Norte;Formosa;Pilcomayo;AV INDEPENDENCIA;1231 A
Centro;Santa Fe;9 de julio;AV INDEPENDENCIA;1282-A
Metropolitana;Buenos Aires;Tandil;AV INDEPENDENCIA;1282-A
Norte;Santiago del Estero;Mitre;AV INDEPENDENCIA;1282-A
Norte;La Rioja;General Lamadrid;AV INDEPENDENCIA;1370-B
Norte;Salta;Iruya;AV INDEPENDENCIA;1370-B
Metropolitana;Buenos Aires;Berazategui;AV INDEPENDENCIA;1457
Norte;Santiago del Estero;Quebrachos;AV INDEPENDENCIA;1457
Norte;Catamarca;Belen;AV INDEPENDENCIA;1639
Norte;Chaco;Presidencia de la Plaza;AV INDEPENDENCIA;1639
Metropolitana;Buenos Aires;Castelli;AV INDEPENDENCIA;1811
Metropolitana;Buenos Aires;San Andres de Giles;AV INDEPENDENCIA;1811
Centro;La Pampa;Curaco;AV INDEPENDENCIA;21
Centro;Mendoza;Malargüe;AV INDEPENDENCIA;21
Centro;Mendoza;Santa Rosa;AV INDEPENDENCIA;21
Metropolitana;Buenos Aires;Pehuajo;AV INDEPENDENCIA;240
Norte;La Rioja;Arauco;AV INDEPENDENCIA;240
Sur;Rio Negro;Valcheta;AV INDEPENDENCIA;240
Norte;Chaco;2 de abril;AV INDEPENDENCIA;241
Centro;Cordoba;Juarez Celman;AV INDEPENDENCIA;246
Sur;Rio Negro;General Roca;AV INDEPENDENCIA;246
Centro;Mendoza;Godoy Cruz;AV INDEPENDENCIA;346
Metropolitana;Buenos Aires;La Costa;AV INDEPENDENCIA;346
Metropolitana;Buenos Aires;Coronel Suarez;AV INDEPENDENCIA;374
Metropolitana;Buenos Aires;Magdalena;AV INDEPENDENCIA;374
Norte;Jujuy;Santa Catalina;AV INDEPENDENCIA;374
Metropolitana;Buenos Aires;Coronel Pringles;AV INDEPENDENCIA;377
Norte;Jujuy;Santa Barbara;AV INDEPENDENCIA;377
Sur;Santa Cruz;Magallanes;AV INDEPENDENCIA;377
Centro;Cordoba;Calamuchita;AV INDEPENDENCIA;390  396
Norte;Santiago del Estero;Rio Hondo;AV INDEPENDENCIA;390  396
Metropolitana;Buenos Aires;Capitan Sarmiento;AV INDEPENDENCIA;393
Norte;Corrientes;Saladas;AV INDEPENDENCIA;393
Centro;Entre Rios;Concordia;AV INDEPENDENCIA;395
Metropolitana;Buenos Aires;Lomas de Zamora;AV INDEPENDENCIA;395
Metropolitana;Buenos Aires;San Pedro;AV INDEPENDENCIA;395
Metropolitana;Buenos Aires;Mercedes;AV INDEPENDENCIA;405
Norte;Tucuman;Simoca;AV INDEPENDENCIA;405
Sur;Rio Negro;El Cuy;AV INDEPENDENCIA;405
Centro;San Luis;General Pedernera;AV INDEPENDENCIA;409
Metropolitana;Buenos Aires;Jose C. Paz;AV INDEPENDENCIA;409
Metropolitana;Buenos Aires;Jose M. Ezeiza;AV INDEPENDENCIA;409
Norte;Corrientes;General Paz;AV INDEPENDENCIA;409
Metropolitana;Buenos Aires;Rivadavia;AV INDEPENDENCIA;413
Norte;Catamarca;Capayan;AV INDEPENDENCIA;413
Metropolitana;Buenos Aires;Lincoln;AV INDEPENDENCIA;427
Metropolitana;Buenos Aires;San Miguel;AV INDEPENDENCIA;427
Norte;Chaco;Comandante Fernandez;AV INDEPENDENCIA;427
Centro;Mendoza;San Rafael;AV INDEPENDENCIA;47
Norte;Santiago del Estero;Copo;AV INDEPENDENCIA;47
Sur;Neuquen;Los Lagos;AV INDEPENDENCIA;47
Norte;Jujuy;Rinconada;AV INDEPENDENCIA;497
Norte;Tucuman;Burruyacu;AV INDEPENDENCIA;497
Norte;Tucuman;Burruyacu;AV INDEPENDENCIA;497
Norte;Tucuman;Rio Chico;AV INDEPENDENCIA;497
Norte;Formosa;Pirane;AV INDEPENDENCIA;500
Norte;Jujuy;Yavi;AV INDEPENDENCIA;500
Norte;Santiago del Estero;Banda;AV INDEPENDENCIA;500
Centro;Santa Fe;9 de julio;AV INDEPENDENCIA;545
Metropolitana;Buenos Aires;Tandil;AV INDEPENDENCIA;545
Sur;Neuquen;Minas;AV INDEPENDENCIA;545
Metropolitana;Buenos Aires;Baradero;AV INDEPENDENCIA;545-D
Metropolitana;Buenos Aires;Zarate;AV INDEPENDENCIA;545-D
Norte;La Rioja;Arauco;AV INDEPENDENCIA;545-D
Norte;San Juan;Pocito;AV INDEPENDENCIA;545-D
Sur;Neuquen;Pehuenches;AV INDEPENDENCIA;545-D
Sur;Rio Negro;Valcheta;AV INDEPENDENCIA;545-D
Metropolitana;Buenos Aires;Balcarce;AV INDEPENDENCIA;562
Norte;Formosa;Pilcomayo;AV INDEPENDENCIA;562
Norte;La Rioja;Vinchina;AV INDEPENDENCIA;562
Centro;La Pampa;Puelen;AV INDEPENDENCIA;565-A
Metropolitana;Buenos Aires;Benito Juarez;AV INDEPENDENCIA;565-A
Centro;La Pampa;Maraco;AV INDEPENDENCIA;568
Metropolitana;Buenos Aires;Daireaux;AV INDEPENDENCIA;568
Norte;Corrientes;Santo Tome;AV INDEPENDENCIA;568
Metropolitana;Buenos Aires;Bragado;AV INDEPENDENCIA;574
Sur;Chubut;Rawson;AV INDEPENDENCIA;574
Centro;Santa Fe;Vera;AV INDEPENDENCIA;579
Metropolitana;Buenos Aires;Avellaneda;AV INDEPENDENCIA;579
Metropolitana;Buenos Aires;Pergamino;AV INDEPENDENCIA;579
Centro;Santa Fe;San Lorenzo;AV INDEPENDENCIA;584
Norte;Misiones;Leandro N. Alem;AV INDEPENDENCIA;584
Norte;Santiago del Estero;Choya;AV INDEPENDENCIA;584
Metropolitana;Buenos Aires;Exaltacion de la Cruz;AV INDEPENDENCIA;608
Metropolitana;Buenos Aires;Canuelas;AV INDEPENDENCIA;611
Metropolitana;Buenos Aires;Rivadavia;AV INDEPENDENCIA;611
Norte;Catamarca;El Alto;AV INDEPENDENCIA;643 (425)
Norte;Chaco;Mayor Luis J. Fontana;AV INDEPENDENCIA;643 (425)
Norte;Corrientes;Sauce;AV INDEPENDENCIA;643 (425)
Centro;Entre Rios;San Salvador;AV INDEPENDENCIA;666
Metropolitana;Buenos Aires;Coronel Dorrego;AV INDEPENDENCIA;666
Metropolitana;Buenos Aires;Lujan;AV INDEPENDENCIA;666
Metropolitana;Buenos Aires;Alberti;AV INDEPENDENCIA;670
Metropolitana;Buenos Aires;Trenque Lauquen;AV INDEPENDENCIA;670
Norte;Misiones;Obera;AV INDEPENDENCIA;670
Centro;La Pampa;Chapaleufu;AV INDEPENDENCIA;684
Metropolitana;Buenos Aires;Lanus;AV INDEPENDENCIA;684
Norte;Misiones;San Ignacio;AV INDEPENDENCIA;684
Norte;Corrientes;San Roque;AV INDEPENDENCIA;701
Norte;Santiago del Estero;Copo;AV INDEPENDENCIA;701
Sur;Neuquen;Los Lagos;AV INDEPENDENCIA;701
Centro;La Pampa;Capital;AV INDEPENDENCIA;718
Norte;Santiago del Estero;Rivadavia;AV INDEPENDENCIA;718
Metropolitana;Buenos Aires;Puan;AV INDEPENDENCIA;720
Norte;Corrientes;Bella Vista;AV INDEPENDENCIA;720
Metropolitana;Buenos Aires;Coronel Suarez;AV INDEPENDENCIA;727
Metropolitana;Buenos Aires;Magdalena;AV INDEPENDENCIA;727
Norte;San Juan;Santa Lucia;AV INDEPENDENCIA;727
Metropolitana;Buenos Aires;Baradero;AV INDEPENDENCIA;740
Metropolitana;Buenos Aires;Zarate;AV INDEPENDENCIA;740
Norte;Catamarca;Poman;AV INDEPENDENCIA;740
Centro;Cordoba;Union;AV INDEPENDENCIA;748
Metropolitana;Buenos Aires;Monte;AV INDEPENDENCIA;748
Norte;Catamarca;Antofagasta de la Sierra;AV INDEPENDENCIA;748
Norte;Chaco;9 de julio;AV INDEPENDENCIA;748
Norte;Corrientes;Paso de los Libres;AV INDEPENDENCIA;748
Sur;Chubut;Tehuelches;AV INDEPENDENCIA;748
Norte;Salta;La Caldera;AV INDEPENDENCIA;776
Norte;Santiago del Estero;General Taboada;AV INDEPENDENCIA;776
Metropolitana;Buenos Aires;25 de mayo;AV INDEPENDENCIA;779
Metropolitana;Buenos Aires;Ayacucho;AV INDEPENDENCIA;85
Metropolitana;Buenos Aires;Pila;AV INDEPENDENCIA;85
Metropolitana;Buenos Aires;Villa Gesell;AV INDEPENDENCIA;85
Metropolitana;Buenos Aires;La Matanza;AV INDEPENDENCIA;858
Norte;Corrientes;Goya;AV INDEPENDENCIA;858
Norte;Corrientes;Monte Caseros;AV INDEPENDENCIA;985-A
Norte;Corrientes;Monte Caseros;AV INDEPENDENCIA;985-A
Norte;San Juan;9 de julio;AV INDEPENDENCIA;985-A
Sur;Chubut;Tehuelches;AV INDEPENDENCIA;985-A
Sur;Chubut;Telsen;AV INDEPENDENCIA;985-A
Sur;Rio Negro;9 de julio;AV INDEPENDENCIA;985-A
Metropolitana;Buenos Aires;Escobar;AV JESUS CARRANZA;1651
Centro;Cordoba;General Roca;AV JESUS CARRANZA;1063
Centro;San Luis;Juan Martin de Pueyrredon;AV JESUS CARRANZA;1063
Norte;Misiones;San Pedro;AV JESUS CARRANZA;73
Norte;Santiago del Estero;Loreto;AV JESUS CARRANZA;73
Sur;Neuquen;Confluencia;AV JESUS CARRANZA;73
Centro;La Pampa;Conhelo;AV JESUS CARRANZA;765
Centro;Mendoza;San Rafael;AV JESUS CARRANZA;765
Norte;Salta;Los Andes;AV JESUS CARRANZA;765
Norte;Salta;Rosario de la Frontera;AV JESUS CARRANZA;1067
Norte;Tucuman;Capital;AV JESUS CARRANZA;1067
Centro;Cordoba;Rio Seco;AV JESUS CARRANZA;123
Centro;Cordoba;Rio Seco;AV JESUS CARRANZA;123
Centro;La Pampa;Caleu Caleu;AV JESUS CARRANZA;123
Norte;San Juan;Calingasta;AV JESUS CARRANZA;123
Metropolitana;Buenos Aires;Arrecifes;AV JESUS CARRANZA;60
Norte;San Juan;Valle Fertil;AV JESUS CARRANZA;60
Sur;Chubut;Gastre;AV JESUS CARRANZA;60
Sur;Neuquen;Pehuenches;AV JESUS CARRANZA;60
Metropolitana;Buenos Aires;General Pueyrredon;AV JESUS CARRANZA;812
Norte;Santiago del Estero;Juan F. Ibarra;AV JESUS CARRANZA;812
Centro;La Pampa;Utracan;AV JESUS CARRANZA;991
Norte;Formosa;Patino;AV JESUS CARRANZA;991
Norte;Misiones;Apostoles;AV JESUS CARRANZA;991
Metropolitana;Buenos Aires;Hipolito Yrigoyen;AV LIBERTAD;1294
Norte;La Rioja;General Belgrano;AV LIBERTAD;1294
Metropolitana;Buenos Aires;Florencio Varela;AV LIBERTAD;387 ESQ MORELOS
Centro;San Luis;Chacabuco;AV LIBERTAD;1046
Metropolitana;Buenos Aires;San Cayetano;AV LIBERTAD;1046
Sur;Neuquen;Lacar;AV LIBERTAD;1046
Metropolitana;Buenos Aires;Chascomus;AV LIBERTAD;1207
Metropolitana;Buenos Aires;Laprida;AV LIBERTAD;1207
Metropolitana;Buenos Aires;San Isidro;AV LIBERTAD;1207
Metropolitana;Buenos Aires;General Guido;AV LIBERTAD;1961
Norte;San Juan;Iglesia;AV LIBERTAD;1961
Norte;Jujuy;Valle Grande;AV LIBERTAD;34
Norte;Santiago del Estero;Atamisqui;AV LIBERTAD;34
Norte;Santiago del Estero;Pellegrini;AV LIBERTAD;34
Metropolitana;Buenos Aires;Almirante Brown;AV LIBERTAD;495
Metropolitana;Buenos Aires;Tres Arroyos;AV LIBERTAD;495
Norte;Santiago del Estero;Ojo de Agua;AV LIBERTAD;495
Metropolitana;Buenos Aires;Pinamar;AV LIBERTAD;56
Norte;Jujuy;Yavi;AV LIBERTAD;56
Norte;Santiago del Estero;Banda;AV LIBERTAD;56
Centro;Cordoba;Punilla;AV LIBERTAD;897
Metropolitana;Buenos Aires;Benito Juarez;AV LIBERTAD;897
Centro;Cordoba;Punilla;AV LIBERTAD;956
Metropolitana;Buenos Aires;Benito Juarez;AV LIBERTAD;956
Metropolitana;Buenos Aires;La Matanza;AV MANCILLA ESQ ALDAMA;5798
Norte;Corrientes;Goya;AV MANCILLA ESQ ALDAMA;5798
Metropolitana;Buenos Aires;Dolores;AV MANCILLA ESQ ALDAMA;5798
Norte;Santiago del Estero;Sarmiento;AV MANCILLA ESQ ALDAMA;5798
Sur;Chubut;Martires;AV MANCILLA ESQ ALDAMA;5798
Centro;Cordoba;Pocho;AV PRINCIPAL;5798
Metropolitana;Buenos Aires;Baradero;AV PRINCIPAL;5798
Sur;Neuquen;Zapala;AV PRINCIPAL;5798
Centro;Mendoza;Lujan de Cuyo;AV REFORMA;587
Metropolitana;Buenos Aires;San Vicente;AV REFORMA;587
Norte;La Rioja;Coronel Felipe Varela;AV REFORMA;587
Metropolitana;Buenos Aires;Arrecifes;AV ROBERTYO COLORADO 1350
Metropolitana;Buenos Aires;Pellegrini;AV ROBERTYO COLORADO 1350
Norte;San Juan;Valle Fertil;AV ROBERTYO COLORADO 1350
Metropolitana;Buenos Aires;Ituzaingo;AV SEBASTIAN ORTIZ;229
Norte;Misiones;General Manuel Belgrano;AV SEBASTIAN ORTIZ;229
Metropolitana;Buenos Aires;Presidente Peron;AVINDEPEND;1065
Norte;Catamarca;Belen;AVINDEPEND;1065
Centro;La Pampa;Loventue;AVINDEPENDENCIA;623
Metropolitana;Buenos Aires;Coronel de Marina Leonardo Rosales;AVINDEPENDENCIA;623
Norte;Corrientes;San Roque;AVINDEPENDENCIA;623
Sur;Chubut;Florentino Ameghino;AVINDEPENDENCIA;672
Metropolitana;Buenos Aires;9 de julio;AVINDEPENDENCIA;1010
Metropolitana;Buenos Aires;Tapalque;AVINDEPENDENCIA;1010
Norte;Salta;Molinos;AVINDEPENDENCIA;1010
Metropolitana;Buenos Aires;San Pedro;AVINDEPENDENCIA;246
Sur;Neuquen;Loncopue;AVINDEPENDENCIA;246
Sur;Rio Negro;Conesa;AVINDEPENDENCIA;246
Centro;La Pampa;Puelen;AVINDEPENDENCIA;574
Norte;Corrientes;Bella Vista;AVINDEPENDENCIA;574
Norte;Santiago del Estero;Alberdi;AVINDEPENDENCIA;678
Norte;Tucuman;Trancas;AVINDEPENDENCIA;678
Sur;Neuquen;norquin;AVINDEPENDENCIA;678
Centro;San Luis;Ayacucho;AVLIBERTAD;33
Centro;Santa Fe;Villa Constitucion;AVLIBERTAD;33
Metropolitana;Buenos Aires;Pila;AVLIBERTAD;33
Norte;Catamarca;Fray Mamerto Esquiu;AVENIDA 3 CALLE 2
Norte;Salta;Cachi;AVENIDA 5 DE MAYO;1226
Norte;Tucuman;Rio Chico;AVENIDA 5 DE MAYO;1226
Metropolitana;Buenos Aires;Hurlingham;BENITO JUAREZ;25
Norte;Chaco;General Güemes;BENITO JUAREZ;25
Centro;Entre Rios;Concordia;BENITO JUAREZ;568
Metropolitana;Buenos Aires;Lomas de Zamora;BENITO JUAREZ;568
Metropolitana;Buenos Aires;San Pedro;BENITO JUAREZ;568
Norte;Chaco;General Donovan;BENITO JUAREZ 25
Sur;Neuquen;Huiliches;BENITO JUAREZ 25
Centro;Cordoba;Juarez Celman;BLVD BENITO JUAREZ;2222 ESQ AV INDEPENDENCIA
Sur;Rio Negro;General Roca;BLVD BENITO JUAREZ;2222 ESQ AV INDEPENDENCIA
Sur;Chubut;Futaleufu;BLVD BENITO JUAREZ;409
Metropolitana;Buenos Aires;Lobos;BLVD BENITO JUAREZ;439 B
Metropolitana;Buenos Aires;San Nicolas;BLVD BENITO JUAREZ;439 B
Norte;Corrientes;Concepcion;BLVD BENITO JUAREZ;439 B
Centro;Cordoba;General San Martin;BLVD BENITO JUAREZ;568
Centro;Mendoza;Junin;BLVD BENITO JUAREZ;568
Metropolitana;Buenos Aires;General Viamonte;BLVD BENITO JUAREZ 1684
Norte;Salta;La Candelaria;BLVD BENITO JUAREZ 1684
Metropolitana;Buenos Aires;Adolfo Alsina;BLVD BENITO JUAREZ ESQ 20 DE NOVIEMBRE;5798
Metropolitana;Buenos Aires;Moreno;BLVD BENITO JUAREZ ESQ 20 DE NOVIEMBRE;5798
Metropolitana;Buenos Aires;Tigre;BLVD BENITO JUAREZ ESQ 20 DE NOVIEMBRE;5798
Metropolitana;Buenos Aires;Guamini;BLVD BENITO JUAREZ ESQ AV 5 DE MAYO;670
Norte;Salta;La Poma;BLVD BENITO JUAREZ ESQ AV 5 DE MAYO;670
Metropolitana;Buenos Aires;San Fernando;BLVD BENITO JUAREZ ESQ IGNACIO MATIAS;5798
Norte;La Rioja;Chamical;BLVD BENITO JUAREZ ESQ IGNACIO MATIAS;5798
Sur;Chubut;Languineo;BLVD BENITO JUAREZ ESQ IGNACIO MATIAS;5798
Metropolitana;Buenos Aires;Monte Hermoso;BLVD BENITO JUAREZ S / N
Sur;Chubut;Telsen;BLVD BENITO JUAREZ S / N
Sur;Rio Negro;9 de julio;BLVD BENITO JUAREZ S / N
Norte;Corrientes;Beron de Astrada;BLVD BENITO JUAREZ;1291
Norte;Formosa;Ramon Lista;BLVD BENITO JUAREZ;1291
Centro;Cordoba;Minas;BLVD BENITO JUAREZ;1466-A
Centro;Entre Rios;Tala;BLVD BENITO JUAREZ;1466-A
Sur;Rio Negro;25 de mayo;BLVD BENITO JUAREZ;1466-A
Centro;Entre Rios;Islas del Ibicuy;BLVD BENITO JUAREZ;197-A
Metropolitana;Buenos Aires;General Lavalle;BLVD BENITO JUAREZ;197-A
Centro;La Pampa;Chalileo;BLVD FRANCISCO FERNANDEZ ARTEAGA;1984
Metropolitana;Buenos Aires;San Fernando;BLVD FRANCISCO FERNANDEZ ARTEAGA;1984
Norte;Formosa;Laishi;BLVD FRANCISCO FERNANDEZ ARTEAGA;1984
Centro;Cordoba;Rio Cuarto;BLVD MANUEL AVILA CAMACHO 435
Norte;Salta;Cafayate;BLVD MANUEL AVILA CAMACHO 435
Metropolitana;Buenos Aires;Hipolito Yrigoyen;BLVDBENITO JUAREZ;786
Norte;Chaco;General Belgrano;BLVDBENITO JUAREZ;786
Metropolitana;Buenos Aires;Malvinas Argentinas;BLVDBENITO JUAREZ;42-C
Norte;Catamarca;Santa Rosa;BLVDBENITO JUAREZ;42-C
Norte;Corrientes;Curuzu Cuatia;BLVDBENITO JUAREZ;42-C
Centro;San Luis;Belgrano;BOULEVAR BENITO JUAREZ;197 -A
Metropolitana;Buenos Aires;Presidente Peron;BOULEVAR BENITO JUAREZ;197 -A
Metropolitana;Buenos Aires;Bolivar;BOULEVAR BGENITO JUAREZ 1291
Norte;San Juan;Rawson;BOULEVAR BGENITO JUAREZ 1291
Metropolitana;Buenos Aires;Esteban Echeverria;BOULEVARD BENITO JUAREZ ESQ INDEPENDENCIA
Metropolitana;Buenos Aires;Capitan Sarmiento;BULEVAR;810
Metropolitana;Buenos Aires;Saladillo;BULEVAR;810
Norte;Chaco;San Fernando;BULEVAR BENITO JUAREZ ESQUINA I MATIAS;5798
Norte;La Rioja;Chamical;BULEVAR BENITO JUAREZ ESQUINA I MATIAS;5798
Sur;Chubut;Languineo;BULEVAR BENITO JUAREZ ESQUINA I MATIAS;5798
Norte;Jujuy;Susques;C 1O DE MAYO;4
Sur;Chubut;Escalante;C 1O DE MAYO;4
Metropolitana;Buenos Aires;Pellegrini;C ALDAMA;153
Norte;Jujuy;Valle Grande;C ALDAMA;153
Norte;Santiago del Estero;Atamisqui;C ALDAMA;153
Centro;Entre Rios;La Paz;C ALDAMA;25
Norte;Tucuman;Graneros;C ALDAMA;25
Centro;La Pampa;Chapaleufu;C BENITO JUAREZ;72
Metropolitana;Buenos Aires;Lanus;C BENITO JUAREZ;72
Norte;Chaco;San Fernando;C BENITO JUAREZ;72
Centro;Cordoba;General Roca;C GUADALUPE VICTORIA;373
Centro;San Luis;Juan Martin de Pueyrredon;C GUADALUPE VICTORIA;373
Metropolitana;Buenos Aires;General Pueyrredon;C GUADALUPE VICTORIA N0373
Norte;Santiago del Estero;Juan F. Ibarra;C GUADALUPE VICTORIA N0373
Norte;Corrientes;Mburucuya;C MARINA HERNANDEZ N 5
Norte;Jujuy;El Carmen;C MARINA HERNANDEZ N 5
Norte;Santiago del Estero;Silipica;C MARINA HERNANDEZ N 5
Norte;Catamarca;El Alto;C ZARAGOZA;329
Norte;Chaco;Mayor Luis J. Fontana;C ZARAGOZA;329
