region;provincia;localidad;calle;altura
Norte;Santiago del Estero;Silipica;C ZARAGOZA;329
Centro;Santa Fe;Vera;CALLE 21 DE MARZO;17
Metropolitana;Buenos Aires;Avellaneda;CALLE 21 DE MARZO;17
Sur;Rio Negro;Pichi Mahuida;CALLE 21 DE MARZO;17
Norte;Chaco;2 de abril;CALLE AGUSTIN LARA;69-B
Metropolitana;Buenos Aires;Moreno;CALLE ALDAMA;156
Norte;Jujuy;Tilcara;CALLE ALDAMA;156
Sur;Rio Negro;Adolfo Alsina;CALLE ALDAMA;156
Metropolitana;Buenos Aires;Merlo;CALLE ALDAMA;64
Metropolitana;Buenos Aires;Suipacha;CALLE ALDAMA;64
Norte;Corrientes;Empedrado;CALLE ALDAMA;64
Centro;Cordoba;Capital;CALLE ALDAMA;233-A
Norte;San Juan;Rivadavia;CALLE ALDAMA;233-A
Centro;La Pampa;Trenel;CALLE ALDAMA;50
Metropolitana;Buenos Aires;Alberti;CALLE ALDAMA;50
Norte;Chaco;O'Higgins;CALLE ALDAMA;50
Metropolitana;Buenos Aires;San Antonio de Areco;CALLE ALDAMA;53
Sur;Neuquen;Catan Lil;CALLE ALDAMA;53
Centro;Santa Fe;San Javier;CALLE ALDAMA;70
Metropolitana;Buenos Aires;Las Flores;CALLE ALDAMA;70
Norte;Tucuman;Chicligasta;CALLE ALDAMA;70
Norte;Chaco;Quitilipi;CALLE ALDAMA;720
Norte;Formosa;Bermejo;CALLE ALDAMA;720
Norte;Formosa;Bermejo;CALLE ALDAMA;144-A
Norte;Formosa;Ramon Lista;CALLE ALDAMA;144-A
Centro;La Pampa;Quemu Quemu;CALLE ALDAMA;99
Metropolitana;Buenos Aires;Berisso;CALLE ALDAMA;99
Centro;Mendoza;Las Heras;CALLE ARTEAGA;1027
Centro;Santa Fe;San Javier;CALLE ARTEAGA;1027
Norte;Salta;Chicoana;CALLE ARTEAGA;1027
Centro;Cordoba;Tulumba;CALLE BENITO JUAREZ;495
Norte;Catamarca;Ambato;CALLE BENITO JUAREZ;495
Norte;Salta;Oran;CALLE BENITO JUAREZ;495
Metropolitana;Buenos Aires;Maipu;CALLE GUERRERO ESQ MURO BLVD
Norte;Catamarca;Santa Maria;CALLE GUERRERO ESQ MURO BLVD
Norte;Tucuman;Cruz Alta;CALLE GUERRERO ESQ MURO BLVD
Metropolitana;Buenos Aires;Benito Juarez;CALLE HIDALGO;96
Norte;Santiago del Estero;Quebrachos;CALLE HIDALGO;96
Norte;La Rioja;San Blas de Los Sauces;CALLE HIDALGO;501
Norte;San Juan;Caucete;CALLE HIDALGO;501
Metropolitana;Buenos Aires;Alberti;CALLE IGNACIO MATIAS;6
Metropolitana;Buenos Aires;Trenque Lauquen;CALLE IGNACIO MATIAS;6
Norte;Chaco;O'Higgins;CALLE IGNACIO MATIAS;6
Centro;La Pampa;Toay;CALLE IGNACIO RAYON;934
Metropolitana;Buenos Aires;Adolfo Gonzales Chaves;CALLE IGNACIO RAYON;934
Metropolitana;Buenos Aires;Moron;CALLE IGNACIO RAYON;934
Metropolitana;Buenos Aires;Adolfo Gonzales Chaves;CALLE IGNACIO RAYON;949
Metropolitana;Buenos Aires;Moron;CALLE IGNACIO RAYON;949
Norte;Catamarca;Tinogasta;CALLE IGNACIO RAYON;949
Metropolitana;Buenos Aires;Coronel Dorrego;CALLE ITURBIDE;52
Metropolitana;Buenos Aires;Lujan;CALLE ITURBIDE;52
Metropolitana;Buenos Aires;San Vicente;CALLE ITURBIDE;52
Norte;La Rioja;General Ocampo;CALLE JUAREZ;855
Norte;San Juan;Jachal;CALLE JUAREZ;855
Centro;Santa Fe;General Obligado;CALLE LAZARO CARDENAS;5798
Norte;Corrientes;Ituzaingo;CALLE LAZARO CARDENAS;5798
Centro;Entre Rios;Tala;CALLE MATAMOROS;280
Sur;Neuquen;Minas;CALLE MATAMOROS;280
Sur;Rio Negro;25 de mayo;CALLE MATAMOROS;280
Centro;Santa Fe;Rosario;CALLE MATAMOROS;29-3
Norte;Santiago del Estero;Capital;CALLE MATAMOROS;29-3
Centro;San Luis;Coronel Pringles;CALLE MATAMOROS;11
Norte;Jujuy;Santa Barbara;CALLE MATAMOROS;11
Norte;Tucuman;Lules;CALLE MATAMOROS;11
Centro;Santa Fe;Iriondo;CALLE MATAMOROS;123
Metropolitana;Buenos Aires;General La Madrid;CALLE MATAMOROS;123
Metropolitana;Buenos Aires;9 de julio;CALLE MATAMOROS;127
Metropolitana;Buenos Aires;Tapalque;CALLE MATAMOROS;127
Norte;Santiago del Estero;Mitre;CALLE MATAMOROS;127
Norte;Misiones;Cainguas;CALLE MATAMOROS;147
Norte;Santiago del Estero;Rio Hondo;CALLE MATAMOROS;147
Metropolitana;Buenos Aires;Vicente Lopez;CALLE MATAMOROS;2-B
Norte;Santiago del Estero;Avellaneda;CALLE MATAMOROS;2-B
Sur;Rio Negro;Pichi Mahuida;CALLE MATAMOROS;2-B
Metropolitana;Buenos Aires;Puan;CALLE MATAMOROS;225
Norte;Santiago del Estero;Belgrano;CALLE MATAMOROS;225
Metropolitana;Buenos Aires;General Guido;CALLE MATAMOROS;236
Norte;San Juan;Iglesia;CALLE MATAMOROS;236
Metropolitana;Buenos Aires;Ayacucho;CALLE MATAMOROS;237
Metropolitana;Buenos Aires;Villa Gesell;CALLE MATAMOROS;237
Norte;Formosa;Pilagas;CALLE MATAMOROS;237
Centro;Santa Fe;General Lopez;CALLE MATAMOROS;31
Norte;Corrientes;Itati;CALLE MATAMOROS;31
Norte;Chaco;25 de mayo;CALLE MATAMOROS;310
Norte;Salta;Metan;CALLE MATAMOROS;310
Norte;Tucuman;Tafi del Valle;CALLE MATAMOROS;310
Centro;Mendoza;Tunuyan;CALLE MATAMOROS;325
Norte;Catamarca;Andalgala;CALLE MATAMOROS;325
Norte;Jujuy;Palpala;CALLE MATAMOROS;325
Metropolitana;Buenos Aires;General Juan Madariaga;CALLE MATAMOROS;40
Norte;Chaco;Independencia;CALLE MATAMOROS;40
Norte;Salta;Cafayate;CALLE MATAMOROS;40
Sur;Santa Cruz;Rio Chico;CALLE MATAMOROS;40
Metropolitana;Buenos Aires;General Pinto;CALLE MATAMOROS;415
Norte;Tucuman;Juan Bautista Alberdi;CALLE MATAMOROS;415
Centro;San Luis;Coronel Pringles;CALLE MATAMOROS;78
Norte;La Rioja;Sanagasta;CALLE MATAMOROS;78
Norte;Tucuman;Lules;CALLE MATAMOROS;78
Metropolitana;Buenos Aires;Rojas;CALLE MELCHOR OCAMPO;635
Norte;Corrientes;Capital;CALLE MELCHOR OCAMPO;635
Centro;La Pampa;Rancul;CALLE MORELOS;426
Sur;Chubut;Biedma;CALLE MORELOS;426
Centro;Entre Rios;San Salvador;CALLE MORELOS;72
Centro;La Pampa;Loventue;CALLE MORELOS;72
Metropolitana;Buenos Aires;Coronel de Marina Leonardo Rosales;CALLE MORELOS;72
Centro;Cordoba;Presidente Roque Saenz Pena;CALLE MORELOS;24
Norte;Santiago del Estero;Belgrano;CALLE MORELOS;24
Metropolitana;Buenos Aires;Carlos Casares;CALLE MORELOS;30
Norte;Santiago del Estero;Salavina;CALLE MORELOS;30
Metropolitana;Buenos Aires;Carlos Tejedor;CALLE MORELOS;330 INT2
Norte;Santiago del Estero;Salavina;CALLE MORELOS;330 INT2
Centro;Entre Rios;Villaguay;CALLE MORELOS;44
Metropolitana;Buenos Aires;Bahia Blanca;CALLE MORELOS;44
Sur;Rio Negro;Pilcaniyeu;CALLE MORELOS;44
Centro;La Pampa;Trenel;CALLE MORELOS;72-B
Metropolitana;Buenos Aires;Alberti;CALLE MORELOS;72-B
Sur;Rio Negro;norquinco;CALLE MORELOS;72-B
Norte;Tucuman;Famailla;CALLE OCAMPO;5579
Metropolitana;Buenos Aires;Adolfo Alsina;CALLE OCAMPO;14
Metropolitana;Buenos Aires;Tigre;CALLE OCAMPO;14
Norte;Tucuman;Monteros;CALLE OCAMPO;14
Metropolitana;Buenos Aires;Castelli;CALLE OCAMPO;266
Norte;Jujuy;San Antonio;CALLE OCAMPO;266
Norte;Catamarca;Capayan;CALLE OCAMPO;420
Norte;Salta;Rivadavia;CALLE OCAMPO;420
Centro;Santa Fe;La Capital;CALLE OCAMPO S/M
Metropolitana;Buenos Aires;General Villegas;CALLE OCAMPO S/M
Metropolitana;Buenos Aires;Azul;CALLE OCAMPO;231
Metropolitana;Buenos Aires;Pilar;CALLE OCAMPO;231
Metropolitana;Buenos Aires;Villa Gesell;CALLE OCAMPO;231
Centro;Cordoba;Totoral;CALLE OCAMPO;254
Norte;San Juan;Albardon;CALLE OCAMPO;254
Sur;Neuquen;norquin;CALLE OCAMPO;254
Norte;Salta;La Caldera;CALLE PRINCIPAL;5798
Norte;Santiago del Estero;General Taboada;CALLE PRINCIPAL;5798
Centro;Entre Rios;Parana;CALLE RIVA PALACIOS;465
Centro;Mendoza;Tunuyan;CALLE RIVA PALACIOS;465
Norte;Catamarca;Andalgala;CALLE RIVA PALACIOS;465
Norte;Formosa;Formosa;CALLE SEBASTIAN ORTIZ;690
Metropolitana;Buenos Aires;Carlos Casares;CALLE SEBASTIAN ORTIZ;549
Metropolitana;Buenos Aires;Saladillo;CALLE SEBASTIAN ORTIZ;549
Metropolitana;Buenos Aires;General Viamonte;CALLE SEBASTIAN ORTIZ;849
Norte;Salta;La Candelaria;CALLE SEBASTIAN ORTIZ;849
Norte;San Juan;25 de mayo;CALLE ZARAGOZA;1010
Norte;Tucuman;Tafi del Valle;CALLE ZARAGOZA;1010
Metropolitana;Buenos Aires;Azul;CALLEJON DE LA;CHE TRISTE;23
Metropolitana;Buenos Aires;Villa Gesell;CALLEJON DE LA;CHE TRISTE;23
Norte;Formosa;Pilagas;CALLEJON DE LA;CHE TRISTE;23
Centro;La Pampa;Atreuco;CAMI;LOMA ALTA;1000
Metropolitana;Buenos Aires;Pergamino;CAMI;LOMA ALTA;1000
Norte;Catamarca;Valle Viejo;CAMI;LOMA ALTA;1000
Metropolitana;Buenos Aires;Loberia;CARR A OJITALN;951-A
Norte;Corrientes;Concepcion;CARR A OJITALN;951-A
Norte;Corrientes;San Miguel;CARR A OJITALN;951-A
Centro;Santa Fe;La Capital;CARR A OJITLAN;951-A
Metropolitana;Buenos Aires;General Villegas;CARR A OJITLAN;951-A
Centro;Cordoba;Santa Maria;CARROJITLAN;43
Metropolitana;Buenos Aires;Maipu;CARROJITLAN;43
Norte;Tucuman;Cruz Alta;CARROJITLAN;43
Norte;Chaco;25 de mayo;CARRETERA A LOMA ALTA;5798
Sur;Chubut;Gastre;CENTRO PINERO
Sur;Chubut;Escalante;DANIEL SOTO;354
Centro;Mendoza;Rivadavia;DANIEL SOTO;370
Metropolitana;Buenos Aires;Canuelas;DANIEL SOTO;370
Metropolitana;Buenos Aires;Mar Chiquita;DOMICILIO CO;CIDO KM21
Norte;Corrientes;Santo Tome;DOMICILIO CO;CIDO KM21
Sur;Chubut;Cushamen;DOMICILIO CO;CIDO KM21
Metropolitana;Buenos Aires;Malvinas Argentinas;DOMICILIO CO;CIDO;5798
Norte;Corrientes;Curuzu Cuatia;DOMICILIO CO;CIDO;5798
Norte;Salta;Santa Victoria;DOMICILIO CO;CIDO;5798
Norte;Jujuy;San Pedro;FRANCISCO I MADERO;182
Sur;Neuquen;Loncopue;FRANCISCO I MADERO;182
Sur;Rio Negro;Conesa;FRANCISCO I MADERO;182
Norte;Corrientes;San Martin;GUERRERO ESC MURO
Norte;Misiones;Libertador General San Martin;GUERRERO ESC MURO
Sur;Neuquen;Collon Cura;GUERRERO ESC MURO
Metropolitana;Buenos Aires;General Alvear;HERMENEGILDO GALEANA;5798
Metropolitana;Buenos Aires;Brandsen;HIDALGO;689
Norte;Jujuy;Rinconada;HIDALGO;689
Metropolitana;Buenos Aires;Benito Juarez;HIDALGO;96
Metropolitana;Buenos Aires;Punta Indio;HIDALGO;96
Centro;Mendoza;Junin;IGNACIO ZARAGOZA;303
Metropolitana;Buenos Aires;General Rodriguez;IGNACIO ZARAGOZA;303
Norte;Misiones;Guarani;INDEPENDENCIA;1231 A
Norte;Salta;La Vina;INDEPENDENCIA;1231 A
Metropolitana;Buenos Aires;Esteban Echeverria;INDEPENDENCIA;124
Metropolitana;Buenos Aires;Exaltacion de la Cruz;INDEPENDENCIA;1655
Centro;Mendoza;Guaymallen;INDEPENDENCIA;6
Norte;La Rioja;General angel V. Penaloza;INDEPENDENCIA;6
Centro;Cordoba;Presidente Roque Saenz Pena;INDEPENDENCIA 1519
Centro;San Luis;Belgrano;INDEPENDENCIA 1519
Centro;Entre Rios;Colon;INDEPENDENCIA 1683
Norte;Misiones;Libertador General San Martin;INDEPENDENCIA 1683
Norte;Santiago del Estero;San Martin;INDEPENDENCIA 1683
Metropolitana;Buenos Aires;General Arenales;INDEPENDENCIA 432
Sur;Santa Cruz;Güer Aike;INDEPENDENCIA 432
Centro;Cordoba;San Justo;INDEPENDENCIA 623
Norte;Corrientes;Lavalle;INDEPENDENCIA 623
Norte;San Juan;Chimbas;INDEPENDENCIA 623
Norte;Salta;Anta;INDEPENDENCIA 748
Norte;San Juan;Ullum;INDEPENDENCIA 748
Sur;Chubut;Paso de Indios;INDEPENDENCIA 748
Metropolitana;Buenos Aires;Jose C. Paz;INDEPENDENCIA 807
Norte;Corrientes;General Paz;INDEPENDENCIA 807
Centro;Cordoba;Sobremonte;INDEPENDENCIA 824
Metropolitana;Buenos Aires;Mercedes;INDEPENDENCIA 824
Sur;Rio Negro;El Cuy;INDEPENDENCIA 824
Centro;Mendoza;Rivadavia;INDEPENDENCIA 85
Norte;Misiones;Candelaria;INDEPENDENCIA 85
Centro;Mendoza;Las Heras;INDEPENDENCIA;1420
Norte;Misiones;San Javier;INDEPENDENCIA;1420
Norte;Salta;Chicoana;INDEPENDENCIA;1420
Metropolitana;Buenos Aires;Dolores;INDEPENDENCIA;241
Sur;Chubut;Martires;INDEPENDENCIA;241
Sur;Chubut;Sarmiento;INDEPENDENCIA;241
Centro;Santa Fe;San Lorenzo;INDEPENDENCIA;377
Metropolitana;Buenos Aires;Leandro N. Alem;INDEPENDENCIA;377
Sur;Neuquen;Chos Malal;INDEPENDENCIA;377
Centro;San Luis;General Pedernera;INDEPENDENCIA;409
Metropolitana;Buenos Aires;Jose M. Ezeiza;INDEPENDENCIA;409
Metropolitana;Buenos Aires;Lincoln;INDEPENDENCIA;427
Norte;Chaco;Comandante Fernandez;INDEPENDENCIA;427
Norte;Corrientes;San Miguel;INDEPENDENCIA;427
Centro;Mendoza;Capital;INDEPENDENCIA;569 B
Norte;Santiago del Estero;Robles;INDEPENDENCIA;569 B
Norte;Chaco;Chacabuco;INDEPENDENCIA;587
Norte;Corrientes;San Cosme;INDEPENDENCIA;587
Sur;Santa Cruz;Lago Buenos Aires;INDEPENDENCIA;587
Centro;La Pampa;Realico;INDEPENDENCIA;605
Metropolitana;Buenos Aires;Bragado;INDEPENDENCIA;605
Metropolitana;Buenos Aires;Vicente Lopez;INDEPENDENCIA;717
Norte;Santiago del Estero;Avellaneda;INDEPENDENCIA;717
Sur;Neuquen;Picun Leufu;INDEPENDENCIA;717
Centro;La Pampa;Guatrache;INT PASAJE COMERCIAL LOCAL;4
Norte;Corrientes;General Alvear;INT PASAJE COMERCIAL LOCAL;4
Centro;Mendoza;San Martin;JESUS CARRANZA 991
Metropolitana;Buenos Aires;Ciudad Libertador San Martin;JESUS CARRANZA 991
Norte;Chaco;Libertad;JESUS CARRANZA 991
Centro;Cordoba;Marcos Juarez;JESUS CARRANZA;139
Norte;Chaco;Sargento Cabral;JESUS CARRANZA;139
Sur;Santa Cruz;Deseado;JESUS CARRANZA;139
Centro;Cordoba;San Javier;KM 1 CARRETERA A TUXTEPEC PTE EL CARACOL
Metropolitana;Buenos Aires;Las Flores;KM 1 CARRETERA A TUXTEPEC PTE EL CARACOL
Norte;Tucuman;Chicligasta;KM 1 CARRETERA A TUXTEPEC PTE EL CARACOL
Centro;San Luis;Libertador General San Martin;KM 35 CARRETERA TUXTEPEC CD ALEMAN
Centro;Santa Fe;San Martin;KM 35 CARRETERA TUXTEPEC CD ALEMAN
Norte;Jujuy;Cochinoca;KM 35 CARRETERA TUXTEPEC CD ALEMAN
Norte;Corrientes;Sauce;KM 13 CARR MIGUEL ALEM¦N
Norte;Formosa;Matacos;KM 13 CARR MIGUEL ALEM¦N
Norte;Jujuy;Dr. Manuel Belgrano;KM 13 CARR MIGUEL ALEM¦N
Norte;Catamarca;Fray Mamerto Esquiu;KM 2 CARRETERA TUXTEPEC OAXACA
Centro;Entre Rios;Gualeguay;KM 2 CARRETERA TUXTEPEC- VALLE NACIONAL
Norte;Catamarca;La Paz;KM 2 CARRETERA TUXTEPEC- VALLE NACIONAL
Norte;Chaco;Presidencia de la Plaza;KM13 CARRET CD ALEMAN-TUXTEPEC
Norte;San Juan;Zonda;KM13 CARRET CD ALEMAN-TUXTEPEC
Sur;Rio Negro;Bariloche;KM13 CARRET CD ALEMAN-TUXTEPEC
Centro;La Pampa;Hucal;KM13 CARRETCD ALEMAN-TUXTEPEC
Norte;La Rioja;General Belgrano;KM13 CARRETCD ALEMAN-TUXTEPEC
Norte;Formosa;Matacos;KM2 CARRFEDERAL TUX-OAXACA
Norte;Jujuy;Dr. Manuel Belgrano;KM2 CARRFEDERAL TUX-OAXACA
Sur;Chubut;Sarmiento;KM2 CARRFEDERAL TUX-OAXACA
Centro;Mendoza;San Martin;KM35 CARRETFED TUX-CD ALEMAN
Centro;San Luis;Libertador General San Martin;KM35 CARRETFED TUX-CD ALEMAN
Norte;Jujuy;Cochinoca;KM35 CARRETFED TUX-CD ALEMAN
Centro;Cordoba;San Justo;KM5 CARRETTUX-PTE CARACOL
Metropolitana;Buenos Aires;Chivilcoy;KM5 CARRETTUX-PTE CARACOL
Norte;Tucuman;Leales;KM5 CARRETTUX-PTE CARACOL
Centro;Entre Rios;Colon;LAZARO CARDENAS;195
Centro;La Pampa;Lihuel Calel;LAZARO CARDENAS;195
Norte;San Juan;San Martin;LAZARO CARDENAS;195
Norte;Chaco;Fray Justo Santa Maria de Oro;LIBERTAD 1024
Norte;Catamarca;Capital;LIBERTAD 56
Norte;Santiago del Estero;Robles;LIBERTAD 56
Centro;Cordoba;Ischilin;LIBERTAD ESQ MORELOS 834
Metropolitana;Buenos Aires;General Las Heras;LIBERTAD ESQ MORELOS 834
Norte;Salta;Cerrillos;LIBERTAD;1046
Norte;Salta;San Carlos;LIBERTAD;1046
Metropolitana;Buenos Aires;Bolivar;LIBERTAD;2005
Metropolitana;Buenos Aires;Rauch;LIBERTAD;2005
Norte;Corrientes;Esquina;MARIA;ARISTA;454
Centro;Entre Rios;Uruguay;MARTINEZ;123
Centro;Cordoba;Tercero Arriba;MATAMOROS;149
Metropolitana;Buenos Aires;Merlo;MATAMOROS;149
Metropolitana;Buenos Aires;Monte Hermoso;MATAMOROS;149
Metropolitana;Buenos Aires;Suipacha;MATAMOROS;149
Norte;Chaco;12 de octubre;MATAMOROS;149
Norte;Corrientes;Empedrado;MATAMOROS;149
Norte;Corrientes;Esquina;MATAMOROS;149
Norte;Misiones;Guarani;MATAMOROS;350
Norte;Salta;La Vina;MATAMOROS;350
Norte;Santiago del Estero;Figueroa;MATAMOROS;360
Centro;Entre Rios;Nogoya;MATAMOROS;85 ESQ 20 DE NOVIEMBRE
Metropolitana;Buenos Aires;Tornquist;MATAMOROS;85 ESQ 20 DE NOVIEMBRE
Norte;Santiago del Estero;Aguirre;MATAMOROS;85 ESQ 20 DE NOVIEMBRE
Metropolitana;Buenos Aires;General Juan Madariaga;MATAMOROS 123
Norte;La Rioja;Independencia;MATAMOROS 123
Centro;Cordoba;Cruz del Eje;MATAMOROS 127
Centro;Mendoza;Santa Rosa;MATAMOROS 127
Norte;Chaco;Maipu;MATAMOROS 127
Centro;La Pampa;Chalileo;MATAMOROS 2
Centro;Santa Fe;San Cristobal;MATAMOROS 2
Norte;Formosa;Laishi;MATAMOROS 2
Metropolitana;Buenos Aires;Hurlingham;MATAMOROS 29
Norte;Salta;General Güemes;MATAMOROS 29
Centro;Mendoza;Guaymallen;MATAMOROS 40
Norte;La Rioja;General angel V. Penaloza;MATAMOROS 40
Norte;La Rioja;Capital;MATAMOROS;138
Norte;Salta;Rosario de Lerma;MATAMOROS;138
Centro;Santa Fe;San Justo;MATAMOROS;225
Metropolitana;Buenos Aires;Chivilcoy;MATAMOROS;225
Norte;Tucuman;Leales;MATAMOROS;225
Centro;Entre Rios;Federal;MATAMOROS;325
Norte;Catamarca;Poman;MATAMOROS;327
Norte;San Juan;Zonda;MATAMOROS;327
Sur;Rio Negro;Bariloche;MATAMOROS;327
Sur;Chubut;Florentino Ameghino;MIGUEL HIDALGO;409
Centro;San Luis;Junin;MIGUEL HIDALGO;689
Metropolitana;Buenos Aires;General Rodriguez;MIGUEL HIDALGO;689
Centro;Entre Rios;Federacion;NICOLAS BRAVO;1270
Centro;Santa Fe;General Lopez;OAXACA;5798
Norte;Corrientes;Itati;OAXACA;5798
Centro;La Pampa;Utracan;OCAMPO 254-B
Metropolitana;Buenos Aires;Pehuajo;OCAMPO 254-B
Norte;Misiones;Apostoles;OCAMPO 254-B
Metropolitana;Buenos Aires;Carmen de Areco;OCAMPO 38
Metropolitana;Buenos Aires;Salliquelo;OCAMPO 38
Centro;Entre Rios;Villaguay;OCAMPO;231
Metropolitana;Buenos Aires;Bahia Blanca;OCAMPO;231
Metropolitana;Buenos Aires;Pilar;OCAMPO;231
Centro;Entre Rios;Feliciano;PLAN DE AYALA;5798
Metropolitana;Buenos Aires;Ensenada;PONCIA;ARRIAGA;45
Metropolitana;Buenos Aires;Suipacha;PONCIA;ARRIAGA;45
Centro;Santa Fe;Rosario;PONCIA;ARRIAGA;43
Norte;San Juan;Capital;PONCIA;ARRIAGA;43
Metropolitana;Buenos Aires;Suipacha;PRIMERO DE MAYO;48 ALTOS
Norte;Corrientes;Mercedes;PRIMERO DE MAYO;48 ALTOS
Norte;Misiones;Eldorado;PRIMERO DE MAYO;48 ALTOS
Metropolitana;Buenos Aires;Benito Juarez;PRINCIPAL;5798 TEMAZCAL
Metropolitana;Buenos Aires;Punta Indio;PRINCIPAL;5798 TEMAZCAL
Norte;Formosa;Formosa;PROL AV 5 DE MAYO;109
Centro;Mendoza;La Paz;PROL AV 5 DE MAYO;1145- A
Norte;Salta;Guachipas;PROL AV 5 DE MAYO;1145- A
Metropolitana;Buenos Aires;Rauch;PROL AV 5 DE MAYO;270
Sur;Chubut;Biedma;PROL AV 5 DE MAYO;270
Metropolitana;Buenos Aires;Almirante Brown;PROL5 DE MAYO;786
Metropolitana;Buenos Aires;Tres Arroyos;PROL5 DE MAYO;786
Norte;Misiones;Obera;PROL5 DE MAYO;786
Centro;Cordoba;Capital;PROLONG INDEPENDENCIA;2237
Norte;San Juan;Rivadavia;PROLONG INDEPENDENCIA;2237
Centro;Cordoba;Santa Maria;PROLONGINDEPENDENCIA;468-B
Centro;Mendoza;Maipu;PROLONGINDEPENDENCIA;468-B
Sur;Santa Cruz;Corpen Aike;PROLONGINDEPENDENCIA;468-B
Centro;Santa Fe;San Jeronimo;MAURE;4578
Norte;Corrientes;Lavalle;CORDOBA;1479
Norte;San Juan;Chimbas;CABILDO;12762
